Title	Release Date
Reasonable Doubt	June 25, 1996 
In My Lifetime, Vol. 1	November 4, 1997   
Vol. 2... Hard Knock Life	September 29, 1998   
Vol. 3... Life and Times of S. Carter	December 28, 1999    
The Dynasty: Roc La Familia	October 31, 2000     
The Blueprint	September 11, 2001   
The Best of Both Worlds	March 19, 2002       
The Blueprint 2: The Gift & The Curse	November 12, 2002    
The Black Album	November 14, 2003    
Unfinished Business	October 26, 2004     
Kingdom Come	November 21, 2006    
American Gangster	November 6, 2007     
The Blueprint 3	September 8, 2009    
Watch the Throne	August 8, 2011       
Magna Carta Holy Grail	July 4, 2013         
